Self-harm | C0424366
Implement necessary actions to reduce an individual's immediate distress when negotiating a no-self-harm or safety contract | C1737436
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at school, other institution and public administrative area | C0480428
[X]Intentional self harm by jumping or lying before moving object, occurrence at school, other institution and public administrative area | C0480472
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at school, other institution and public administrative area | C0480384
Patient suicide, attempted suicide, or self-harm that results in serious injury, while being cared for in a healthcare setting | C4035979
States that life isn't worth living, wishes for death, or attempts to harm self in last 2W.presence:Find:2W:^Patient:Ord:Observed.PHQ-9.CMS | C2707551
States that life isn't worth living, wishes for death, or attempts to harm self in last 2W.frequency:Find:2W:^Patient:Ord:Observed.PHQ-9.CMS | C2707553
Intentionally harming self | C1689991
Contract (verbally or in writing) with patient for "no self-harm" for a specified period of time, recontracting at specified time intervals, as appropriate | C0810900
Responsible staff or provider was informed of potential for resident self harm:Find:RptPeriod:^Patient:Ord:CMS Assessment | C2707481
Discuss plans for dealing with suicidal ideation in the future (e.g., precipitating factors, who to contact, where to go for help, ways to alleviate feelings of self-harm) | C4713903
Moves about without harming self | C4717976
self-harmful; behavior, family history | C1397173
Avoid giving positive reinforcement to self-harmful behaviors | C4709846
poisoning by harmful algae and algae toxins due to self-inflicted overdose | C3646903
Use a calm, nonpunitive approach when dealing with self-harmful behaviors | C4709833
Monitor delusions for presence of content that is self-harmful or violent | C0513072
Monitor hallucinations for presence of content that is violent or self-harmful | C0513461
Provide the predetermined consequences if patient is engaging in self-harmful behaviors | C0515157
Monitor patient for self-harmful impulses that may progress to suicidal thoughts or gestures | C4709829
Place patient in a more protective environment (e.g., area restriction and seclusion) if self-harmful impulses and behaviors escalate | C0514317
Utilize protective interventions (e.g., area restrictions, seclusion, physical restraints) if patient lacks the restraint to refrain from harming self, as needed | C0812123
Provide family or significant other(s) with guidelines as to how self-harmful behavior can be managed outside the care environment | C0514776
Provide illness teaching to patient or significant others if self-harmful behavior is illness-based (e.g., borderline personality disorder or autism) | C0514849
Involve family in discharge planning (e.g., illness/medication teaching, recognition of increasing suicidal risk, patient's plan for dealing with thoughts of harming self, community resources) | C0811532
Suicide | C0038661
Completed Suicide | C0852733
Cancer patients and suicide and depression | C0812393
Suicide/suicide attempt | C0851163
Suicide attempt | C0038663
Suicide, Assisted | C0162665
Suicide Prevention | C0204732
Planning suicide | C0424001
FH: Suicide | C0455386
Threatening suicide | C5779518
At increased risk for suicide | C5779517
Suicide - hanging | C0564928
Suicide - drowning | C0564930
Suicide - suffocation | C0564929
Suicide - firearms | C0564931
Suicide cluster | C4060870
Suicide Awareness | C5691315
Suicide behaviors | C5873005
Unsuccessful suicide | C0856306
Suicide threat | C4087166
Suicide Gene | C4331356
trauma; suicide | C1407145
history; suicide | C1387428
cell suicide | C3268855
Suicide or attempted suicide by hanging | C0418299
Suicide or attempted suicide by drowning | C0418301
Suicide ideation | C1821181
Suicide rate | C1822575
suicide mortality | C0683917
Suicide plan:Find:Pt:^Patient:Ord | C5203394
Suicide of child | C0860087
Suicide attempt by inadequate means | C5442105
Genes, Transgenic, Suicide | C1257744
Suicide risk (observable entity) | C0563664
Suicide Attempt Incident Code | C1547270
Feeling suicidal (finding) | C0424000
Undetermined manner of death, suicide suspected | C0277683
Suicide risk assessment | C0558000
Attempted suicide - drowning | C0564922
Attempted suicide - hanging | C0564920
Attempted suicide - firearms | C0564923
Suicide of relative | C0524345
Physician-Assisted Suicide | C0162664
Suicide while incarcerated | C0277670
High suicide risk | C1271074
Decreased Suicide Risk | C2712270
Attempted suicide - suffocation | C0564921
Suicide - domestic gas | C0564926
Suicide - car exhaust | C0564927
Suicide - cut/stab | C0564932
Suicide risk scale | C0451517
Drug overdose - suicide | C0558442
Anti-suicide psychotherapy | C0419161
Potential suicide care | C0419162
Depression and Suicide | C1524032
Suicide Attempt, CTCAE | C4554105
Suicide screening report | C5774164
Suicide risk factor | C5203655
Suicide prevention note | C4522066
Suicide risk level | C5203657
History of attempted suicide | C0455507
Moderate suicide risk | C1271075
Medically Assisted Suicide | C0162663
Suicide of son | C0860092
Suicide of wife | C0860093
Suicide of sibling | C0860090
Suicide of friend | C0860107
Suicide of husband | C0860089
Suicide of companion | C0860108
Suicide of daughter | C0860088
Suicide of sister | C0860091
Suicide of brother | C0860086
Suicide of spouse | C0856042
Suicide of parent | C1869005
Suspected suicide attempt | C4728160
ASQ suicide screening | C5682084
previous suicide attempt | C2114507
Cancer and Suicide | C0338230
Suicide Gene Therapy | C1515035
HAMD-17 - Suicide | C3639383
HAMD-21 - Suicide | C3640494
suicide attempt; observation | C1408412
successful suicide attempt | C0850637
Suicide risk:Find:Pt:^Patient:Ord:Observed.CCC | C1625758
Actual suicide attempts | C5211724
Interrupted suicide attempts | C5211732
Past suicide attempts | C5220986
Suicide attempt, sequela | C4509469
Suicide risk:Score:Lifetime:^Patient:Qn:CUBS | C4696945
Suicide risk:Score:Pt:^Patient:Qn:CUBS | C4696946
attempts suicide/homicide | C1948151
Upholds suicide contract | C0518678
Murder-suicide rate | C4718718
Suicide Prevention Centers | C0871462
SUICIDE ATTEMPT MULTIPLE | C0749137
AODR suicide mortality | C0681681
Self-control behavior: suicide | C0518668
Suicide screening report:Find:Pt:^Patient:Doc | C5774165
Suicide risk factor:Find:Pt:^Patient:Nom | C5203654
Suicide risk level:Find:Pt:^Patient:Ord | C5203656
Suicide/self-injury (SMQ) | C1869040
At low risk for suicide | C1271076
Suicide risk assessed (MDD, MDD ADOL) | C1741961
Suicide prevention note:Find:Pt:{Setting}:Doc:{Role} | C4522067
Suicidal tendency | C0235196
suicide risk assessment using Beck scale for suicide ideation | C5387978
Suicide of close relative | C0425052
